id,q,r
308,"""A catapillar grows into a butterfly .""","""But the point you miss is that a caterpillar is NOT a butterfly ; a puppy is NOT a full grown dog ; a ZYGOTE and a FETUS are NOT children ."""
323,"""Very nicely stated in an editorial in today 's New York Times : http : //www.nytimes.com/2009/01/24/opinion/24sat3.html""","""I 'm not convinced that the fund people did n't turn their heads in China , but I am otherwise in agreement with the editorial ."""
324,"""... Organs , a nervious system , a brain , all these are the things that make us human ...""","""Actually they are what make us animals ."""
325,"""Because they would not be performing homosexual acts any longer .""","""So you 've never repeated a sin ?"""
326,"""I do n't agree with the very first assertion in the audio clip , that all life is derived from a SINGLE ancestor .""","""But it is n't an assertion of absolute truth ."""
327,"""http : //news.yahoo.com/s/ap/20070531/ ... NfpmCZaggE1vAI""","""Nice to see that at least some of the states here in the US have some common sense and are at least heading towards equality for gay couples ."""
328,"""If she 's in the Third World , Bush has cut off funding for access to contraception and information about contraception .""","""So Bush is responsible for the death of Third World mothers now ? !"""
329,"""Abortion targets a very specific group of human beings : unwanted , unborn children .""","""Do `` unwanted , unborn [ fetuses ] `` make up a `` national , ethnical [ sic ? ] , racial , or religious group `` ?"""
337,"""Peeling , with all due respect , we have allegedly had 4 billion years of evolution on Earth since the first simple life supposedly appeared .""","""Oh , we do n't have to - sorry , I was n't clear enough there ."""
338,"""I 'm really curious to see who beleives in god for concrete reasons and who beleives in him by faith .""","""In reality , there are no concrete 'reasons ' for believing in God ."""
339,"""In theory the preventative care provided would allow us to catch conditions sooner , resulting in decreased utilization of hospitals , specialists , and equipment .""","""Well this does n't answer my question though ."""
340,"""Why should Alice and Bob not be permitted to kill this chronically ill child ?""","""See above ."""
341,"""Local firearms dealers said they havenÂ ’ t been able to keep that type of firearm on the shelves for months .""","""Is the Ammo Shortage the Result of a Government Conspiracy or an NRA Marketing Campaign ?"""
342,"""Ultimately , the efforts of the Jewish resistance fighters proved insufficient against the German forces .""","""And it still took an entire month for that whole division of well armed nazi soldiers to defeat a group of holdout jewish citizens , who were poorly armed compared to the nazis ."""
343,"""Yeah , there are those who scream that self-defence is not a valid reason for gun ownership .""","""I think the only valid reason for owning a gun is because you want to ."""
351,"""Actually , with more data that changes the number of assumptions required , it is possible to reach a greater degree of certainty about something .""","""Oh boy , trying to tie Bayesian statistics to the number of assumptions !"""
352,"""but there are never protesters outside of fertility clinics where millions MORE embryos are destroyed than ever will be destroyed in abortion clinics ?""","""and the pro-choicers claim pro-lifers appeal to emotion too much ."""
353,"""You can deny it all you want -- and I 'm sure you will because you have completely brainwashed yourself .""","""You have n't actually presented any rational evidence to support your view ."""
354,"""Certainly science has provided part of the answer with their finding of the Mitachondrial `` Eve `` , suggesting that one person can have all the DNA necessary for all the variation in human populations .""","""That is not quite what the 'mitochondrial Eve ' hypothesis posits ."""
355,"""What would be the legal precedent to stop non-Indians from performing or receiving abortions on sovereign lands ?""","""I suppose the fact that Indian law only applies to its people ."""
356,"""you may , but firstly , that argument may well not fly - much of the grain going to these animals is essentially the trash left over from other production to begin with , unfit for human consumption .""","""Nearly all the food humans eat today , even in the Western world is GM including maize , tomatoes , and soy , etc , etc ."""
357,"""If abortion does n't kill a human life , as you suggest above , then there is really no ground for opposing it .""","""Yes there is a reason to opposing it ."""
386,"""What they are saying is that the fossil record does not show evolution""","""And they are wrong ."""
387,"""You dont have to believe rediculous lies to believe that God created the universe .""","""Actually , the reason people dismiss the concept of a diety is often not because of 'lies ' , but because there is no objective evidence of any diety what so ever ."""
388,"""For example,1 ) if liberals are such strong supporters of Â “ equality as a fundamental rightÂ ” why do they promote policies that favor one group over another ?""","""When did you choose to be heterosexual ? If sexual orientaion is a chioce then I dare you choose to be gay here and now ."""
389,"""The atheist needs to explain how something can exist thatÂ ’ s not material , can not be observed , and is absolute .""","""an atheist does not need a devine revelation to appreciate intangible qualities or account for their existence ."""
390,"""1. gman , have you ever been pregnant ?""","""but my Mom was , and my Sis was and my Wife was ."""
391,"""But he said the NRA is also prepared to work with Democrats , as it did in 2007 in the wake of the Virginia Tech shootings , ....""","""We can add to this list , Singin 's desire of criminalizing gun owners who do n't report gun thefts in a required time and to lock up all guns in a manner that will prevent thefts ."""
392,"""The facts speak for themselves , and no amount of geneticist/darwinist hand-waving is going to change what they say .""","""Yes the facts speak for themselves , they just do n't sing the song you think they do ."""
463,"""Professor McDonald started with a complete mousetrap and then showed ones with fewer parts .""","""So despite his long article Behe is still working on the same assumption I stated above : function is only a product of conscious design : there is no other valid explaination of the structure and function of life ."""
464,"""See Begging the Question""","""What are you talking about ? How was I begging the question ?"""
465,"""This is the most lopsided pro-LGBTI-rights vote in New Jersey history and one of the most lopsided pro-gay votes in American history , `` Garden State Equality spokesperson Steven Goldstein told 365Gay.com""","""http : //www.365gay.com/Newscon06/01/010606njPartner.htm"""
466,"""A Nightmare because the Republicans have used the filibuster as a weapon to stop legislation .""","""With all the debt Obama has generated for our nation , he deserves to be filibustered into the ground ."""
467,"""no proof of it exists if the earth was millions of years old than there would be no fossils of dinosaurs and people and do n't say preseservative""","""Okay , I wo n't say `` preseservative , `` whatever the hell that is ."""
468,"""`` [ and in fact , at best only a miniscule and negligible fraction of the total wild moth population has ever been observed to do this.""","""And only a `` miniscule and negligible fraction of the total wild moth population `` has even been observed resting anywhere else ."""
469,"""The figure comes from a 1936 study by Dr. Frederick Taussig who estimated that abortion claimed the lives of 5,000 to 10,000 women a year .""","""So 5,000 to 10,000 women dying from illegal abortions is n't high ?"""
470,"""Another problem with the site is that Alan D. Gishlick is without a doubt an evolutionist whereas Jonathan Wells seems to approach the subject with a more objective and neutral view .""","""I 'm not suggesting that Jonathan Wells is inherently wrong ; I 'm just pointing out that he is far from `` objective and neutral `` on this subject ."""
471,"""I repeat in rebuttal to the ignorant , bigoted and hateful response above .""","""There goes my irony meter ."""
472,"""Well done , martini guy !""","""Actually not ."""
473,"""ItÂ ’ s quite obvious that the poster was n't asking if someone could explain the legal differences between the two .""","""And yet the article is about a legal matter ."""
474,"""Do n't believe me then so be it , but there are many articles that say the effects of marijuana ... at the very least it is like smoking .""","""Link me to one saying weed 'addiction ' is worse than alcoholism please ."""
475,"""I wish the pro-infanticide zealots could experience being dismembered and having their skulls collapsed and their brains sucked out so they 'll know what an innocent baby feels when it 's being aborted .""","""You mean like how you suck any rationale thought or discourse from a debate topic ? Talk about ABORTING ."""
476,"""There ai n't no doubt about it in my mind""","""Not much of anything else either , it would seem ."""
554,"""# 3 - Can anyone explain to me why no other apes , monkeys or chimps have evolved into a higher species ?""","""From what I have learned , different locations breed different surroundings ."""
555,"""`` One of the guns used at Columbine was a Tec-9 , a semiautomatic handgun once specifically advertised by its manufacturer as the most popular crime weapon in America .""","""So then the law is flawed because criminals could just as easily get their hands on select firearms , ban or no ban ."""
556,"""I do n't understand why pro-lifers dismiss pregnancy as easy and/or suggest that it 's a wonderful snuggly thing that 's just the best thing in the world .""","""funny , I do n't remember ever hearing a pro-lifer say that pregnancy was a wonderful snuggly thing or the best thing in the world ."""
557,"""Finally , I wonder why the bible has convinced some but not others .""","""Though it does n't really say why , the Bible says that is what will happen ."""
558,"""you must be agnostic now . you see his point-of-view . you now doubt god , according to your answer .""","""Here 's some advice , if you 're going to try and crack on me , make your 'jokes ' ( I 'll be nice and call them that ) less passive and more active , grammar-wise ."""
559,"""Atheism does n't dictate how the universe was created or what happens after death .""","""Where is your evidence of `` no God `` Atheism is a curse !"""
560,"""It probably would have been better if Scalia had said to himself when the case was brought before the court , `` There certainly is no consensus about the meaning of the Second Amendment and I , as an amateur historian , am certainly not going to force my own personal views on others .""","""And if that was the accepted rule for Constitutional interpretation we would still have Jim Crow and the 14th Amendment would be as useful as the 3rd ."""
666,"""`` The implication -- or outright assertion -- is that anyone who believes homosexuality is wrong is not progressive or enlightened .""","""If he is allowed to have the belief that it is wrong or a sin then others are also free to have the belief that he is an progressive or enlightened"""
667,"""What does this have to do with creation and evolution ?""","""Just imagine Noah 's checklist ! There ."""
668,"""That is to say , DNA sufficiently similar and sufficiently widespread for the attainment of our target sequence to be statistically feasible via known mechanisms ( mutation etc ) .""","""Apparently you want to talk molecular chemistry whereas I was hoping to discuss organismic evolution ."""
669,"""Those who have firearms in their homes are more likely to die of murder and are more likely to die from suicide .""","""If you take a gun from a sucidal and depressed person , does that cure depression ?"""
670,"""The `` laws of consequences `` ? What would those be ?""","""Well , you frame the question as a quote from me ..."""
671,"""Interesting coming from someone who just argued his God is a liar of epic proportions .""","""Really ?"""
672,"""But Governor Palin does n't think so : http : //www.dailykos.com/story/2008/1 ... /97/640/631928""","""That ad is a flat out distortion of Palin 's view ."""
729,"""Sorry but I think you are mistaken in that the bible `` describes `` dinosaurs .""","""Really ?"""
730,"""HereÂ ’ s a question ; which one split from the other ?""","""Yep that is the problem . You canÂ ’ t tell ."""
731,"""do you have proof of such a statement ?""","""Right . Please , reread your argument . Not to mention what Woodward actually said about Piltdown man . www.talkorigins.org"""
732,"""Again , how does this apply ?""","""Again ? What do you mean ? I am talking about different sciences per se . What is your question ?"""
733,"""That is one negative I see to the side of evolution as any species who could use the sun for energy could survive almost anything just as plants have .""","""Plants have been wiped out in the great extinctions too ."""
734,"""Personally I believe that the developing fetus becomes a person only when it is able to survive outside the womb .""","""You just say this because you want to murder helpless wromb-trapped human beings . You can not just say you personally believe something in a debate ."""
735,"""I believe prochoice people support choice . I do n't know what proabortion people support . I 've never met one .""","""Why , is there something wrong with being pro abortion ?"""
757,"""People with certain agendas are refusing to follow the laws .""","""You 're going to have to do better then that . Here 's a funny comic mocking your position http : //www.filibustercartoons.com/comics/20040824.gif"""
758,"""Define intelligence .""","""If an organism or cell can process information and then make decisions based on that information , that 's intelligence ."""
759,"""Moral belief may have been used to justify opposition on civil rights and women 's rights , but I do n't think gay lobbyists realize how much moral belief IS the basis for opposing gay marriage .""","""You may see a vast differene , many do not . The `` moral `` grounds for many is simply the justification for their homophobia ."""
760,"""As it stands in the uk a father has no sat whatsoever in the welfare of the baby/fetus if his partener wants to terminate he need never even be told .""","""Same in the US . The father does not have the right to choose ."""
761,"""We take reality and describe it in our minds and thus form it into abstract concepts which we can operate with .""","""Interestingly , concepts only approximate that which they intend to define ."""
762,"""Third , do you believe the fetus is a human ?""","""Having human DNA does not necessarily make one a human being . Transgenic animals can have human DNA , does that make them human beings ."""
763,"""On a more fundamental level : What evidence do you have that having an abortion is ' a mortal sin ' ?""","""its killing a baby ... now .. before 8 weeks , its not in the form of a human being .. at 4 weeks , its a fish .. at 5 .. its a rodent .. but after 8 .. its in the shape of a human ..."""
785,"""The Numbers quote has nothing to do with who or who is n't valuable to God .""","""A divinely appointed prophet from the womb : Jeremiah 1:5"""
786,"""How strange that this thread that aims at the heart of the basis of creationism and IDiotism has gone unanswered .""","""Did n't supersport openly admit he could not prove his own beliefs in divine creation ?"""
787,"""Programs in Holland have failed to produce significant if any benefits to society in general .""","""Holland has n't legalised , its decriminalized ."""
788,"""You got so many things wrong here it would take a book to cover them all and you ca n't read .""","""Even if winnie the poo could read he simply does n't have the brain power to comprehend ."""
789,"""Unfortunately , as with so much of the pro-choice/pro-life debate , the pro-life people distort the picture in order to try to win their arguement .""","""And pro- `` choice `` does n't distort ?"""
790,"""It 's not about finding the weapon . It 's about accountability for supplying the `` black market `` .""","""So you still choose to believe that someone who 's a victim of crime should be punished as if they committed the crime themselves ?"""
791,"""How can so many people be getting murdered every single year if gun control is supposed to save lives in the first place ?""","""So India should have no gun control laws to disarm dangerous communist rebels ?"""
820,"""My challenge to Chuz , is to provide an argument which backs up The statement : `` Biologically speaking , a human individual 's life begins at conception `` .""","""Seriously , I decided that I will actually construct my summary online , Iangb ."""
821,"""Much of what hip hop puts out contributes to unwanted pregnancies .""","""I think hip hop"""
822,"""I know it 's almost as silly as thinking gay marriage will undermine heterosexual marriage .""","""All sin undermines society , including illicit gay sex sin . Or have you forgotten Sodom and Gomorrah ? Coming to a San Francisco bath house near you ."""
823,"""A pistol-packing , 80-year-old Bronx man was arrested on gun charges after he tried to turn the tables on a mugger who beat him and stole his Social Security money , authorities said yesterday .""","""So you deny that this man is a victim ?"""
824,"""NY Assembly Passes Marriage Equality Bill The New York State Assembly just voted to pass the marriage bill by a vote of 85 to 61 .""","""Republicans do not believe in equality , individual freedom , or human rights ."""
825,"""The books of the NT ( GOSPELS ) were agreed on due to their content being inspired by God . Anything `` rejected `` did not contain that inspiration .""","""Instead , they chose the four that painted their Savior in the best light ."""
826,"""I think that you 're right to point out that both human DNA along with consciousness is necessary since there is life that is conscious but does n't have human DNA ( dogs , cats , etc . )""","""I believe once you have the rights granted persons that they may not be taking away because you are asleep or in a coma ."""
841,"""The argument addresses reality and women in reality are surprised by their pregnancy if they did not have sex with the intent to become pregnant ( say , a BC failure ) .""","""I think the three points I raised are relevant for the simple reason that Thomson 's argument is an appeal to moral intuition ."""
842,"""They prefer their own pleasurable self-indulgence over the care and sanctity of the life they created .""","""You puritans are always getting your knickers in a twist because someone , somewhere , might be having a good time ."""
843,"""Natural selection is not proof of evolution by any means .""","""No evolutionary biologist ever claimed that it was ."""
844,"""Here , you claim `` objects without similar characteristics `` , and then you COMPLETELY IGNORE THE SIMILARITY we are talking about in order to focus on a dissimilarity you want to talk about .""","""You 've not understood what I said ."""
845,"""Measuring how far away something is does not necessarily tell it 's age .""","""Sandy do you understand that if a star is one light year away , then we see the light from that star that left the star one year ago ?"""
846,"""The fact that a being is all powerful precludes step two .""","""Technically , all syllogisms need two premises , first of all . ''"""
847,"""As for the wings , a pair of fully developed wings on a dinosaur would not be an asset for anything at all .""","""Gliding/Flying ?"""
883,"""no guns , no shootings ! ! Does it get any simpler ?""","""Actually your posts are providing increasing evidence for just how simple folks can get ."""
884,""".. a piece of genetic material taken from your own body and inserted into a sterile egg to create a batch of undifferentiated cells to reinsert into your body to save your life ?""","""Well if it saves my life what is the problem ? ? Are n't we pro life here ? ? ? ? ?"""
885,"""Abortion is killing , therefore the choice of : to abort or not abort ?""","""If you literally mean `` kill , `` then you are right ."""
886,"""Here 's a cartoon : http : //images.yuku.com/image/pjpeg/3 ... 214ee23f7.pjpg""","""So you 're saying that it 's better to just let the criminals stay armed and the good people should remain unarmed ?"""
887,"""This is a racist statement . Also unsurprising from the anti-choice/anti-life crowd . And their constellation of views .""","""There is nothing racist about the truth ."""
888,"""Originally posted by dsadevil I am merely asking for an objective standard to determine what is and is not a `` god-given right.""","""And he has still yet to provide one . If more gun-control means more lives saved then more gun-control means more self preservation ."""
889,"""Do pro abortion people support euthanasia as a reason for abortion ?""","""I think you need to look up euthanasia , and not only for the correct grammar ."""
