,id,sentence,is_q,label,tokens,q',r'
11520,1826,"These phrases : `` right of the people peaceably to assemble , `` `` right of the people to be secure in their homes , `` `` enumerations herein of certain rights shall not be construed to disparage others retained by the people , `` and `` The powers not delegated herein are reserved to the states respectively , and to the people `` all refer to individuals , but `` the right of the people to keep and bear arm `` refers to the state .",0,0,109,BS . Where is the raw data and does not give links to the raw data so it is probably skewed to make themselves look better .,There called footnotes The GOA is peppered with them not like the made up XXXX from the brady bunch and other civil rights violators like yourself . `` ''
11698,1841,"These phrases : `` right of the people peaceably to assemble , `` `` right of the people to be secure in their homes , `` `` enumerations herein of certain rights shall not be construed to disparage others retained by the people , `` and `` The powers not delegated herein are reserved to the states respectively , and to the people `` all refer to individuals , but `` the right of the people to keep and bear arm `` refers to the state .",0,0,109,"One of the quotes in your signature is- `` The strongest reason for the people to retain the right to keep and bear arms is , as a last resort , to protect themselves against tyranny in government . -Thomas Jefferson `` But this is a bogus quote . http : //www.guncite.com/gc2ndbog.html Why do you use a bogus quote ?","Lacking substance as usual .... Whether Jefferson said it or not is not the issue . The topic of this thread is `` 15 myths about gun control `` But you seem unable to make a logical point so you resort to attacking the individual ... Significant portions of this article are excerpted from Michael Z. Williamson 's excellent and witty piece , It 's amazing what one has to believe to believe in gun control `` ''"
13427,2101,"that 80 % Lesbian Lot ( by their own count and definition ) , continue to whine about women not being given 'equal rights ' , all the while , 51 % of the population ( that 's women ) own the MAJORITY of the wealth , represent the greatest number of teachers , have more rights on college campuses than their male counterparts , have more legal rights than men , are given legal custody of children-even when they are drug addicts/drunks/abusers , and are overwhelmingly the recipients of alimony ( regardless of their being no children in the marriage ) .",1,1,118,"N.O.W . that 80 % Lesbian Lot ( by their own count and definition ) , continue to whine about women not being given 'equal rights ' , all the while , 51 % of the population ( that 's women ) own the MAJORITY of the wealth , represent the greatest number of teachers , have more rights on college campuses than their male counterparts , have more legal rights than men , are given legal custody of children-even when they are drug addicts/drunks/abusers , and are overwhelmingly the recipients of alimony ( regardless of their being no children in the marriage ) . Ah yes , the 'poor victims ' of all that male power .",Well - at least your name is right on .
14422,2254,"If we look at a closed system , as materialists suppose our universe to be , and look strictly at the material , physical events occurring within it , and assume that it is receiving no further 'physical ' inputs than were the 'initial conditions ' of the 'Big Bang ' , then it becomes plausible to believe , as materialist/mechanists most adamantly insist , that every single change event that occurred , is occurring , or ever will occur , was predestined , immutable , and inevitable , no matter whether it was anomalous or was systematic , right down to the last typo I 've made so far in this post .",1,1,135,"If we look at a closed system , as materialists suppose our universe to be , and look strictly at the material , physical events occurring within it , and assume that it is receiving no further 'physical ' inputs than were the 'initial conditions ' of the 'Big Bang ' , then it becomes plausible to believe , as materialist/mechanists most adamantly insist , that every single change event that occurred , is occurring , or ever will occur , was predestined , immutable , and inevitable ``","But here I slam into my own brick wall , one which neatly intersects my path down your chain of reasoning ."
14946,2337,"Despite the plethora of substantive due process cases that have been decided in the post-Lochner century , I have found none that holds , states , or even suggests that the term liberty encompasses either the common-law right of self-defense or a right to keep and bear arms and In short , while the utility of firearms , and handguns in particular , to the defense of hearth and home is certainly relevant to an assessment of petitioners asserted right , there is no freestanding self-defense claim in this case .",0,0,107,"Yeah , it was 9-zip on the individual right to kba in Heller . Over 35,000 watchers ... no one thought it would not be incorporated . Part of the transcript with Tom and Erin :",that does not seem to match the reading of Steven 's dissent . He seems pretty set against incorporation
15261,2370,"`` 1 Timothy 1:8-10 - Â “ But we know that the law is good if one uses it lawfully , knowing this : that the law is not made for a righteous person , but for the lawless and insubordinate , for the ungodly and for sinners , for the unholy and profane , for murderers of fathers and murderers of mothers , for manslayers , for fornicators , for sodomites , for kidnappers , for liars , for perjurers , and if there is any other thing that is contrary to sound doctrineÂ…Â",0,0,126,Why is homosexuality wrong and how does it affect the Constitution or the well being of other American Citizens ?,"Homosexual sin - No harm ? A number of reasons . First , `` gay pride `` ( two sins ) . , most homosexuals who claim to be Christian try to persuade others , most homosexuals distort ( or deny ) the scriptures in some fashion"
16114,2522,"From recent scientific discoveries that show the amazing complexities of the simplest forms of life , the subsequent mathematical improbability of random , chance , godless processes producing and maintaining life , to people like Behe , Dembski , Spetner , and many websites untainted with liberalism and political correctness of the mainstream media , the movie Â “ ExpelledÂ ” that showed a very real probability of how weÂ ’ ve been so close to violating the U.S. Constitution in academia .",1,1,103,"Lately , itÂ ’ s been tough for us atheists . From recent scientific discoveries that show the amazing complexities of the simplest forms of life , the subsequent mathematical improbability of random , chance , godless processes producing and maintaining life , to people like Behe , Dembski , Spetner , and many websites untainted with liberalism and political correctness of the mainstream media , the movie Â ExpelledÂ that showed a very real probability of how weÂ ’ ve been so close to violating the U.S. Constitution in academia .","I donÂ ’ t have the time nor the funding to put this in video form like Harris and Dawkins . I do n't think many , if any , Christians really do - satire about atheism is n't a strong Christian practice , not nearly as strong as atheist satire about Christianity , it seems ."
16872,2633,"And that the said Constitution be never construed to authorize Congress to infringe the just liberty of the press , or the rights of conscience ; or to prevent the people of the United States , who are peaceable citizens , from keeping their own arms ; or to raise standing armies , unless necessary for the defense of the United States , or of some one or more of them ; or to prevent the people from petitioning , in a peaceable and orderly manner , the federal legislature , for a redress of grievances ; or to subject the people to unreasonable searches and seizures of their persons , papers or possessions .",1,1,128,"May your chains set lightly upon you , and may posterity forget that you were our countrymen . And that the said Constitution be never construed to authorize Congress to infringe the just liberty of the press , or the rights of conscience ; or to prevent the people of the United States , who are peaceable citizens , from keeping their own arms ; or to raise standing armies , unless necessary for the defense of the United States , or of some one or more of them ; or to prevent the people from petitioning , in a peaceable and orderly manner , the federal legislature , for a redress of grievances ; or to subject the people to unreasonable searches and seizures of their persons , papers or possessions . Cesare Beccaria False is the idea of utility that sacrifices a thousand real advantages for one imaginary or trifling inconvenience ; that would take fire from men because it burns , and water because one may drown in it ; that has no remedy for evils except destruction . The laws that forbid the carrying of arms are laws of such a nature . They disarm only those who are neither inclined nor determined to commit crimes . Can it be supposed that those who have the courage to violate the most sacred laws of humanity , the most important of the code , will respect the less important and arbitrary ones , which can be violated with ease and impunity , and which , if strictly obeyed , would put an end to personal liberty ... and subject innocent persons to all the vexations that the guilty alone ought to suffer ? Such laws make things worse for the assaulted and better for the assailants ; they serve rather to encourage than to prevent homicides , for an unarmed man may be attacked with greater confidence than an armed man . They ought to be designated as laws not preventive but fearful of crimes , produced by the tumultuous impression of a few isolated facts , and not by thoughtful consideration of the inconveniences and advantages of a universal decree . James Bovard As we learned from the Clinton administration and much of the media , a machine gun in the hands of a federal agent is now a symbol of benevolence and concern for a child 's well-being . William S. BurroughsAfter a shooting spree , they always want to take the guns away from the people who did n't do it . I sure as hell would n't want to live in a society where the only people allowed guns are the police and the military . Bill ClintonThe purpose of government is to rein in the rights of the people . When we got organized as a country and we wrote a fairly radical Constitution with a radical Bill of Rights , giving a radical amount of individual freedom to Americans",The right was in the context of the citizen soldier of the conscript militia . In the eighteenth century private arms were never strictly private . The public had a claim for public purposes . Coxe was a strong Federalist . He was employed in Hamilton 's Treasury Department during the Whiskey Rebellion . He expressed no concerns that the enrollment and inventory requirements of the Militia Act would infringe on right of the people to keep and bear their private arms. `` http : //www.potowmack.org/thequotes.html # coxe So Tench Coxe put quite a bit a faith in the power of the militia ? George Washington and Alexander Hamilton did n't agree . They thought that the militia was no match for a regular army .
18284,2827,"The entire specious claim that there are pygostylian Avialae which pre-date Archaeopteryx lithographica stems from Chatterjee 's most dubious fossil , `` Protoavis texensis , `` and Confuciusornis sanctus , which was initially described as dating from Tithonian horizons of the terminal Jurassic -- although subsequently Hou et al ( 1996 ) presented more conclusive evidence placing the confuciusornid material from the Barremian ( much to the chagrin of Alan Feduccia , who made much of Confuciusornis being from the Jurassic ) .",0,0,131,"There are some good points on the Archaeopteryx , including a fossil find that shows a more modern bird-like fossil that may predate the Archaeopteryx .","The entire specious claim that there are pygostylian Avialae which pre-date Archaeopteryx lithographica stems from Chatterjee 's most dubious fossil , `` Protoavis texensis ,"
18728,2916,"Number of physicians in the U.S ........................................... 700 , 000 Accidental deaths caused by physicians per year ............... 120,000 Accidental deaths per physician ...........................",1,0,112,"doctors are approximately 9,000 times more dangerous than gun owners ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! Taken from the Internet . Should we ban doctors ?",i dont believe you
18866,2922,"In men , the full twin model suggested heritability estimates of 39 % for any lifetime same-sex partner ( 95 % CI:00-59 % ) and 34 % for total number of same-sex partners ( 95 CI : 00-53 % ) , whereas unique environmental factors accounted for 61 % Genetic and Environmental Effects on Same-sex Sexual Behavior : A Population Study of Twins in Sweden Also , quoting the author of the study : Â “ Overall , genetics accounted for around 35 per cent of the differences between men in homosexual behaviour and other individual-specific environmental factors ( that is , not societal attitudes , family or parenting which are shared by twins ) accounted for around 64 per cent .",1,0,140,"Biometric modeling revealed that , in men , genetic effects explained 0.34-0.39 of the variance , the shared environment","The studies were done in different countries . AND , since the APA is now also reporting the lack of genetic evidence"
19803,3061,"Action Arms Israeli Military Industries UZI and Galil ; ( iii ) Beretta Ar70 ( SC-70 ) ; ( iv ) Colt AR-15 ; ( v ) Fabrique National FN/FAL , FN/LAR , and FNC ; ( vi ) SWD M-10 , M-11 , M-11/9 , and M-12 ; ( vii ) Steyr AUG ; ( viii ) INTRATEC TEC-9 , TEC-DC9 and TEC-22 ; and ( ix ) revolving cylinder shotguns , such as ( or similar to ) the Street Sweeper and Striker 12 ; ( B ) a semiautomatic rifle that has an ability to accept a detachable magazine and has at least 2 of - ( i ) a folding or telescoping stock ; ( ii ) a pistol grip that protrudes conspicuously beneath the action of the weapon ; ( iii ) a bayonet mount ; ( iv ) a flash suppressor or threaded barrel designed to accommodate a flash suppressor ; and ( v ) a grenade launcher ; ( C ) a semiautomatic pistol that has an ability to accept a detachable magazine and has at least 2 of - ( i ) an ammunition magazine that attaches to the pistol outside of the pistol grip ; ( ii ) a threaded barrel capable of accepting a barrel extender , flash suppressor , forward handgrip , or silencer ; ( iii ) a shroud that is attached to , or partially or completely encircles , the barrel and that permits the shooter to hold the firearm with the nontrigger hand without being burned ; ( iv ) a manufactured weight of 50 ounces or more when the pistol is unloaded ; and ( v ) a semiautomatic version of an automatic firearm ; and ( D ) a semiautomatic shotgun that has at least 2 of - ( i ) a folding or telescoping stock ; ( ii ) a pistol grip that protrudes conspicuously beneath the action of the weapon ; ( iii ) a fixed magazine capacity in excess of 5 rounds ; and ( iv ) an ability to accept a detachable magazine .",0,0,449,"The actual law : As should be plainly obvious , this is an almost total ban on all semi-automatic weapons in the City of Columbus ,","At first glance this statute seems to merely track the now-expired federal AW ban , and I would watch out to see if its supporters are selling it as such"
19811,3061,"( 3 ) Paragraph ( 1 ) shall not apply to - ( A ) any of the firearms , or replicas or duplicates of the firearms , specified in Appendix A to this section , as such firearms were manufactured on October 1 , 1993 ; ( B ) any firearm that - ( i ) is manually operated by bolt , pump , lever , or slide action ; ( ii ) has been rendered permanently inoperable ; or ( iii ) is an antique firearm ; ( C ) any semiautomatic rifle that can not accept a detachable magazine that holds more than 5 rounds of ammunition ; or ( D ) any semiautomatic shotgun that can not hold more than 5 rounds of ammunition in a fixed or detachable magazine .",0,0,151,"The actual law : As should be plainly obvious , this is an almost total ban on all semi-automatic weapons in the City of Columbus ,","At first glance this statute seems to merely track the now-expired federal AW ban , and I would watch out to see if its supporters are selling it as such"
19814,3061,"( 4 ) Paragraph ( 1 ) shall not apply to - ( A ) the manufacture for , transfer to , or possession by the United States or a department or agency of the United States or a State or a department , agency , or political subdivision of a State , or a transfer to or possession by a law enforcement officer employed by such an entity for purposes of law enforcement ( whether on or off duty ) ; ( B ) the transfer to a licensee under title I of the Atomic Energy Act of 1954 for purposes of establishing and maintaining an on-site physical protection system and security organization required by Federal law , or possession by an employee or contractor of such licensee on-site for such purposes or off-site for purposes of licensee-authorized training or transportation of nuclear materials ; ( C ) the possession , by an individual who is retired from service with a law enforcement agency and is not otherwise prohibited from receiving a firearm , of a semiautomatic assault weapon transferred to the individual by the agency upon such retirement ; or ( D ) the manufacture , transfer , or possession of a semiautomatic assault weapon by a licensed manufacturer or licensed importer for the purposes of testing or experimentation authorized by the Secretary .",0,0,246,"The actual law : As should be plainly obvious , this is an almost total ban on all semi-automatic weapons in the City of Columbus ,","At first glance this statute seems to merely track the now-expired federal AW ban , and I would watch out to see if its supporters are selling it as such"
19817,3061,"( 3 ) This subsection shall not apply to - ( A ) the manufacture for , transfer to , or possession by the United States or a department or agency of the United States or a State or a department , agency , or political subdivision of a State , or a transfer to or possession by a law enforcement officer employed by such an entity for purposes of law enforcement ( whether on or off duty ) ; ( B ) the transfer to a licensee under title I of the Atomic Energy Act of 1954 for purposes of establishing and maintaining an on-site physical protection system and security organization required by Federal law , or possession by an employee or contractor of such licensee on-site for such purposes or off-site for purposes of licensee-authorized training or transportation of nuclear materials ; ( C ) the possession , by an individual who is retired from service with a law enforcement agency and is not otherwise prohibited from receiving ammunition , of a large capacity ammunition feeding device transferred to the individual by the agency upon such retirement ; or ( D ) the manufacture , transfer , or possession of any large capacity ammunition feeding device by a licensed manufacturer or licensed importer for the purposes of testing or experimentation authorized by the Secretary .",0,0,242,"The actual law : As should be plainly obvious , this is an almost total ban on all semi-automatic weapons in the City of Columbus ,","At first glance this statute seems to merely track the now-expired federal AW ban , and I would watch out to see if its supporters are selling it as such"
19841,3066,"Rip , Jaap ; Nierman , Melchior C. ; Ross , Colin J. ; Jukema , Jan Wouter ; Hayden , Michael R. ; Kastelein , John J.P. ; Stroes , Erik S.G. ; Kuivenhoven , Jan Albert Abstract : mdash ; : Lipoprotein lipase ( LPL ) hydrolyzes triglycerides in the circulation and promotes the hepatic uptake of remnant lipoproteins .",0,0,105,Yes . I would .,"In contrast to this , the naturally occurring LPLS447X variant is associated with increased lipolytic function and an anti-atherogenic lipid profile and can therefore be regarded as a gain-of-function mutation ."
19851,3066,"Copyright q 1995 , American Society for Microbiology Emergence of Nylon Oligomer Degradation Enzymes in Pseudomonas aeruginosa PAO through Experimental Evolution IRFAN D. PRIJAMBADA , SEIJI NEGORO , * TETSUYA YOMO , AND ITARU URABE Department of Biotechnology , Faculty of Engineering , Osaka University , 2-1 Yamada-oka , Suita , Osaka 565 , Japan Through selective cultivation with 6-aminohexanoate linear dimer , a by-product of nylon-6 manufacture , as the sole source of carbon and nitrogen , Pseudomonas aeruginosa PAO , which initially has no enzyme activity to degrade this xenobiotic compound , was successfully expanded in its metabolic ability .",0,0,154,Yes . I would .,"In contrast to this , the naturally occurring LPLS447X variant is associated with increased lipolytic function and an anti-atherogenic lipid profile and can therefore be regarded as a gain-of-function mutation ."
20805,3206,"While the shortened term `` all the earth `` ( kol-haÃ‰ares ) by itself may have a limited meaning elsewhere when indicated by the immediate context ( see Exodus 10:5 , 15 ; Numbers 22:5 , 11 ; 1 Kings 4:34 ; 10:24 ; 2 Chronicles 36:23 ; Genesis 41:57 ) , the immediate context of the Flood story is the universal sinfulness of humankind whom God had made and created ( Genesis 6:6,7 ) to have dominion over `` all the earth `` ( Genesis 1:26 ) , and the succeeding context is the universal dispersal of man after the Tower of Babel `` upon the face of all the earth `` ( Genesis 11:4 , 8 , 9 ) .",0,0,159,"much harder to believe We have found fossils , but they are all fake . We have not found an arkÂ….but it is realÂ… .","Fossils are n't fake Mutz , the ages that the fake scientists attribute to them are And the petrified wood structure that exists on Mt Ararat is pretty impressive evidence that something big and made of wood is way up on the side of a mountain BIBLICAL EVIDENCE FOR THE UNIVERSALITY OF THE GENESIS FLOOD `` ''"
20808,3206,"Third , the phrase `` face of the ground `` penÃª haÃ‰adamah ( five times in the Flood narrative , 7:4 , 22 , 23 ; 8:8 , 13 ) , occurs in parallel with universal terms we have just noted , `` the earth `` ( 7:23 ) and `` face of all the earth `` ( 8:9 ) ; and this phrase `` face of the ground `` likewise harks back to its first usage in the universal context of creation ( Genesis 2:6 ) .",0,0,114,"much harder to believe We have found fossils , but they are all fake . We have not found an arkÂ….but it is realÂ… .","Fossils are n't fake Mutz , the ages that the fake scientists attribute to them are And the petrified wood structure that exists on Mt Ararat is pretty impressive evidence that something big and made of wood is way up on the side of a mountain BIBLICAL EVIDENCE FOR THE UNIVERSALITY OF THE GENESIS FLOOD `` ''"
20901,3206,"Tenth , the receding activity of the water ( Genesis 8:3a , 54a ) is described by Hebrew phrases which , in parallel with similar phraseology and grammatical construction for the `` to and fro `` motion of the raven ( Genesis 8:7 ) , should be translated as `` going and retreating , `` ( see Austin 1990 , p 218 ; Hasel 1978 , p 93 ) and imply oscillatory water motion lasting for 74 days ( see Genesis 8:3-5 ) .",0,0,106,"much harder to believe We have found fossils , but they are all fake . We have not found an arkÂ….but it is realÂ… .","Fossils are n't fake Mutz , the ages that the fake scientists attribute to them are And the petrified wood structure that exists on Mt Ararat is pretty impressive evidence that something big and made of wood is way up on the side of a mountain BIBLICAL EVIDENCE FOR THE UNIVERSALITY OF THE GENESIS FLOOD `` ''"
20903,3206,"Eleventh , the NT passages concerning the Flood all employ universal language : `` swept them all away `` ( Matthew 24:39 ) ; `` destroyed them all , `` ( Luke 17:27 ) ; `` he did not spare the ancient world , but preserved Noah with seven other persons , ... when he brought a flood upon the world of the ungodly `` ( 2 Peter 2:5 ) ; `` a few , that is eight persons , were saved through water `` ( 1 Peter 3:20 ) ; Noah `` condemned the world `` ( Hebrews 11:7 ) .",0,0,129,"much harder to believe We have found fossils , but they are all fake . We have not found an arkÂ….but it is realÂ… .","Fossils are n't fake Mutz , the ages that the fake scientists attribute to them are And the petrified wood structure that exists on Mt Ararat is pretty impressive evidence that something big and made of wood is way up on the side of a mountain BIBLICAL EVIDENCE FOR THE UNIVERSALITY OF THE GENESIS FLOOD `` ''"
20964,3206,"The theology of the universal Flood is therefore the pivot of a connected but multi-faceted universal theme running through Genesis 1-11 and constituting an over-arching pattern for the entire subsequent world-wide creation revealing the character of the Creator and His original purpose for creation ; humankind 's turning from the Creator and the universal spread of sin ending in the universal `` uncreation `` through eschatological judgment ; and re-creation , in the eschatological salvation of the faithful covenant remnant and the universal renewal of the earth .",0,0,115,"much harder to believe We have found fossils , but they are all fake . We have not found an arkÂ….but it is realÂ… .","Fossils are n't fake Mutz , the ages that the fake scientists attribute to them are And the petrified wood structure that exists on Mt Ararat is pretty impressive evidence that something big and made of wood is way up on the side of a mountain BIBLICAL EVIDENCE FOR THE UNIVERSALITY OF THE GENESIS FLOOD `` ''"
23543,3709,"Next time you are sitting on your XXX in your favorite easy chair marveling at the `` accomplishments `` that have `` bettered `` the human race , while your bretheren are off killing people in order to further your idiotic ideological BS , you might keep in mind that the greatest difference between humans and animals seems to be that , while animals generally do their own killing , truly `` refined `` humans such as yourself ( and most other `` civilized `` people ) , get to set and home and send others out to do their dirty work .",0,0,119,Man has changed significantly in the past few thousand years .,"Oh , I know we have changed significantly . We now have the means to kill each other much more efficiently than we once did . In addition , we now have industrial capability , and the ability to destroy the entire planet a bit at a time . We can more efficiently drive lesser species to extinction . With every passing generation we become more cruel , and our ability to delude ourselves becomes ever more refined . now we kill hundreds or thousands a day with cruise missiles and bombs instead of swords and lances , or bows and clubs . ``"
24314,3882,"Code : < pre class= `` alt2 `` dir= `` ltr `` style= `` margin : 0px ; padding : 6px ; border : 1px inset ; width : 640px ; height : 498px ; text-align : left ; overflow : auto `` > Biology Letters , The Royal Society , Volume 2 , issue 4 ( December 22 , 2006 ) 1 ) The influence of social affiliation on individual vocal signatures of northern resident killer whales ( Orcinus orca ) .",0,0,115,"It ( scientific output ) is on the EAM side , none of it on the darwinist pseudo-science religion ,",Not all of it deals with evolutionary questions majority meets that qualification . Code :
